action count
k_prc_front_kick 27
k_prc_jump_front_heavy 10
k_prc_kick_1 93
k_prc_kick_2 24
k_prc_low 12
k_prc_spinning_kick 15
lying_kick_face_back 5
lying_kick_face_front 6
lying_kick_spine_back 1
lying_kick_spine_front 9
lynx_claws_low_slash_1_long 16
lynx_claws_low_slash_2_long 5
lynx_claws_slash_1_long 5
lynx_claws_slash_2_long 5
lynx_claws_spinning_slash 25
lynx_claws_spinning_slash_long 15
lynx_claws_super_slash_1 104
lynx_claws_super_slash_1_long 10
lynx_claws_super_slash_2 65
lynx_claws_super_slash_2_long 7
lynx_claws_super_slash_active 23
lynx_claws_super_slash_active_long 2
lynx_shadow_claws_slash_1 22
lynx_shadow_claws_slash_1_active 19
