action count
bulwark_shadow_chain_active 279
bulwark_shadow_chain_miss 649
k_str_front_kick 29
k_str_jump_front 134
k_str_jump_front_heavy 605
k_str_jump_up_heavy 25
k_str_kick 137
k_str_low 90
k_str_spinning_kick 96
lying_kick_face_back 17
lying_kick_face_front 230
lying_kick_spine_back 29
lying_kick_spine_front 229
shadow_shield_knobstick_slash_1 424
shield_knobstick_heavy_slash 893
shield_knobstick_low_slash 860
shield_knobstick_low_slash_active 230
shield_knobstick_slash_1 2692
shield_knobstick_slash_2 1727
shield_knobstick_slash_3 1574
shield_knobstick_spinning_slash 1229
shield_knobstick_super_3_slash_1 1660
shield_knobstick_super_3_slash_2 1116
shield_knobstick_upper_slash 285
strong_blaster_player_shoot 964
