action count
bulwark_shadow_chain_active 135
bulwark_shadow_chain_miss 327
k_str_front_kick 12
k_str_jump_front 52
k_str_jump_front_heavy 251
k_str_jump_up_heavy 16
k_str_kick 69
k_str_low 58
k_str_spinning_kick 31
lying_kick_face_back 23
lying_kick_face_front 99
lying_kick_spine_back 33
lying_kick_spine_front 245
shadow_shield_knobstick_slash_1 186
shield_knobstick_heavy_slash 504
shield_knobstick_low_slash 366
shield_knobstick_low_slash_active 76
shield_knobstick_slash_1 1374
shield_knobstick_slash_2 923
shield_knobstick_slash_3 799
shield_knobstick_spinning_slash 567
shield_knobstick_super_3_slash_1 974
shield_knobstick_super_3_slash_2 678
shield_knobstick_upper_slash 112
strong_blaster_player_shoot 488
