action count
bulwark_shadow_chain_active 332
bulwark_shadow_chain_miss 766
k_str_front_kick 25
k_str_jump_front 128
k_str_jump_front_heavy 647
k_str_jump_up_heavy 31
k_str_kick 202
k_str_low 119
k_str_spinning_kick 92
lying_kick_face_back 10
lying_kick_face_front 81
lying_kick_spine_back 34
lying_kick_spine_front 62
shadow_shield_knobstick_slash_1 451
shield_knobstick_heavy_slash 937
shield_knobstick_low_slash 845
shield_knobstick_low_slash_active 194
shield_knobstick_slash_1 2520
shield_knobstick_slash_2 1694
shield_knobstick_slash_3 1616
shield_knobstick_spinning_slash 946
shield_knobstick_super_3_slash_1 1804
shield_knobstick_super_3_slash_2 1287
shield_knobstick_upper_slash 305
strong_blaster_player_shoot 925
