action count
bulwark_shadow_chain_active 409
bulwark_shadow_chain_miss 937
k_str_front_kick 56
k_str_jump_front 181
k_str_jump_front_heavy 611
k_str_jump_up_heavy 31
k_str_kick 216
k_str_low 173
k_str_spinning_kick 131
lying_kick_face_back 54
lying_kick_face_front 108
lying_kick_spine_back 26
lying_kick_spine_front 80
shadow_shield_knobstick_slash_1 601
shield_knobstick_heavy_slash 1026
shield_knobstick_low_slash 1102
shield_knobstick_low_slash_active 243
shield_knobstick_slash_1 3122
shield_knobstick_slash_2 1940
shield_knobstick_slash_3 1787
shield_knobstick_spinning_slash 1178
shield_knobstick_super_3_slash_1 2101
shield_knobstick_super_3_slash_2 1287
shield_knobstick_upper_slash 334
strong_blaster_player_shoot 1235
