action count
bulwark_shadow_chain_active 45
bulwark_shadow_chain_miss 107
k_str_front_kick 11
k_str_jump_front 15
k_str_jump_front_heavy 123
k_str_jump_up_heavy 5
k_str_kick 18
k_str_low 18
k_str_spinning_kick 9
lying_kick_face_back 23
lying_kick_face_front 83
lying_kick_spine_back 10
lying_kick_spine_front 16
shadow_shield_knobstick_slash_1 69
shield_knobstick_heavy_slash 114
shield_knobstick_low_slash 80
shield_knobstick_low_slash_active 23
shield_knobstick_slash_1 379
shield_knobstick_slash_2 250
shield_knobstick_slash_3 231
shield_knobstick_spinning_slash 140
shield_knobstick_super_3_slash_1 233
shield_knobstick_super_3_slash_2 167
shield_knobstick_upper_slash 39
strong_blaster_player_shoot 131
