action count
bulwark_shadow_chain_active 78
bulwark_shadow_chain_miss 170
k_str_front_kick 12
k_str_jump_front 24
k_str_jump_front_heavy 128
k_str_jump_up_heavy 13
k_str_kick 23
k_str_low 29
k_str_spinning_kick 16
lying_kick_face_back 2
lying_kick_face_front 31
lying_kick_spine_back 6
lying_kick_spine_front 33
shadow_shield_knobstick_slash_1 121
shield_knobstick_heavy_slash 158
shield_knobstick_low_slash 124
shield_knobstick_low_slash_active 28
shield_knobstick_slash_1 492
shield_knobstick_slash_2 317
shield_knobstick_slash_3 292
shield_knobstick_spinning_slash 222
shield_knobstick_super_3_slash_1 452
shield_knobstick_super_3_slash_2 332
shield_knobstick_upper_slash 39
strong_blaster_player_shoot 187
