action count
bulwark_shadow_chain_active 73
bulwark_shadow_chain_miss 165
k_str_front_kick 6
k_str_jump_front 55
k_str_jump_front_heavy 64
k_str_jump_up_heavy 4
k_str_kick 21
k_str_low 14
k_str_spinning_kick 12
lying_kick_face_back 4
lying_kick_face_front 25
lying_kick_spine_back 4
lying_kick_spine_front 101
shadow_shield_knobstick_slash_1 107
shield_knobstick_heavy_slash 171
shield_knobstick_low_slash 146
shield_knobstick_low_slash_active 48
shield_knobstick_slash_1 513
shield_knobstick_slash_2 336
shield_knobstick_slash_3 317
shield_knobstick_spinning_slash 185
shield_knobstick_super_3_slash_1 384
shield_knobstick_super_3_slash_2 282
shield_knobstick_upper_slash 33
strong_blaster_player_shoot 222
