action count
agile_throwing_knife_player_throw 4
claws_1_spinning_slash_1 7
claws_1_spinning_slash_2 5
claws_1_super_1_active 7
claws_1_super_1_slash_1 18
claws_1_super_1_slash_2 13
emperor_shadow_blade_slash 2
emperor_shadow_blade_throw_active 1
emperor_shadow_blade_throw_miss 5
emperor_spike_player_throw 13
k_agl_front_kick 26
k_agl_jump_front_heavy 3
k_agl_kick_1 2
k_agl_super_1_kick_1 4
lying_kick_face_front 4
lying_kick_spine_back 6
p_agl_low_punch 3
p_agl_punch_1 20
p_agl_punch_2 8
p_agl_punch_3 8
p_agl_spinning_punch_1 2
p_agl_spinning_punch_2 1
p_agl_spinning_punch_3 1
p_agl_uppercut 1
shadow_carapace 7
shadow_claws_slash_1 6
