action count
k_prc_front_kick 1
k_prc_jump_front_heavy 28
k_prc_kick_1 13
k_prc_kick_2 3
k_prc_low 3
k_prc_spinning_kick 5
k_prc_super_4_kick_1 4
k_prc_super_4_kick_2 1
k_prc_super_4_kick_3 1
kunai_player_throw 32
lying_kick_face_back 2
lying_kick_face_front 7
lying_kick_spine_back 11
lying_kick_spine_front 5
naginata_heavy_slash 21
naginata_low_slash 16
naginata_slash_1 43
naginata_slash_2 23
naginata_spinning_slash 49
naginata_super_1_slash_1 79
naginata_super_1_slash_2 52
naginata_super_1_slash_3 50
naginata_upper_slash 3
shadow_dash 26
shadow_dash_turn 6
shadow_precise_armor 22
