action count
dual_kama_heavy_slash 177
dual_kama_low_slash 68
dual_kama_slash_1 201
dual_kama_slash_2 135
dual_kama_spinning_slash 88
dual_kama_super_1_active 58
dual_kama_super_1_slash_1 268
dual_kama_super_1_slash_2 178
dual_kama_upper_slash 21
fireguard_flame_spit 158
fireguard_shadow_fly_attack 32
fireguard_shadow_fly_miss 32
fireguard_shadow_fly_miss_mirror 20
fireguard_shadow_fly_miss_turn_back 9
fireguard_shadow_fly_start 52
k_prc_front_kick 9
k_prc_jump_front 62
k_prc_jump_front_heavy 215
k_prc_jump_up 12
k_prc_kick_1 39
k_prc_kick_2 21
k_prc_low 44
k_prc_spinning_kick 22
lying_kick_face_back 8
lying_kick_face_front 27
lying_kick_spine_back 12
lying_kick_spine_front 37
shadow_dual_kama_slash_1_active_end 55
shadow_dual_kama_slash_1_active_start 56
shadow_dual_kama_slash_1_miss 88
shadow_fireguard_dodge 21
shadow_ranged_precise_folding_shuriken 22
