action count
k_str_front_kick 15
k_str_jump_front 45
k_str_jump_front_heavy 253
k_str_jump_up 7
k_str_kick 45
k_str_low 41
k_str_spinning_kick 33
lying_kick_face_back 8
lying_kick_face_front 70
lying_kick_spine_back 2
lying_kick_spine_front 44
paladinessa_fly 274
paladinessa_fly_left 138
paladinessa_fly_left_active 125
pistol_player_shoot 327
sword_lonely_heavy_slash 366
sword_lonely_low_slash 169
sword_lonely_slash_1 583
sword_lonely_slash_2 325
sword_lonely_spinning_slash 305
sword_lonely_super_1_slash_1 691
sword_lonely_super_1_slash_2 425
sword_lonely_upper_slash 24
