action count
k_str_front_kick 13
k_str_jump_front 25
k_str_jump_front_heavy 141
k_str_kick 30
k_str_low 32
k_str_spinning_kick 21
lying_kick_face_back 4
lying_kick_face_front 16
lying_kick_spine_front 2
paladinessa_fly 190
paladinessa_fly_left 133
paladinessa_fly_left_active 120
pistol_player_shoot 239
sword_lonely_heavy_slash 311
sword_lonely_low_slash 125
sword_lonely_slash_1 336
sword_lonely_slash_2 190
sword_lonely_spinning_slash 109
sword_lonely_super_1_slash_1 554
sword_lonely_super_1_slash_2 353
sword_lonely_upper_slash 28
