action count
k_str_front_kick 11
k_str_jump_front 65
k_str_jump_front_heavy 242
k_str_jump_up 6
k_str_kick 52
k_str_low 58
k_str_spinning_kick 37
lying_kick_face_back 2
lying_kick_face_front 15
lying_kick_spine_back 8
lying_kick_spine_front 16
paladinessa_fly 391
paladinessa_fly_left 148
paladinessa_fly_left_active 130
pistol_player_shoot 354
sword_lonely_heavy_slash 507
sword_lonely_low_slash 139
sword_lonely_slash_1 574
sword_lonely_slash_2 353
sword_lonely_spinning_slash 350
sword_lonely_super_1_slash_1 936
sword_lonely_super_1_slash_2 586
sword_lonely_upper_slash 64
