action count
k_str_front_kick 4
k_str_jump_front 12
k_str_jump_front_heavy 30
k_str_jump_up 2
k_str_kick 4
k_str_low 4
k_str_spinning_kick 11
lying_kick_face_back 1
lying_kick_face_front 18
lying_kick_spine_back 2
lying_kick_spine_front 4
paladinessa_fly 25
paladinessa_fly_left 22
paladinessa_fly_left_active 21
pistol_player_shoot 36
sword_lonely_heavy_slash 83
sword_lonely_low_slash 8
sword_lonely_slash_1 62
sword_lonely_slash_2 43
sword_lonely_spinning_slash 31
sword_lonely_super_1_slash_1 36
sword_lonely_super_1_slash_2 28
sword_lonely_upper_slash 4
