action count
k_str_front_kick 19
k_str_jump_front 63
k_str_jump_front_heavy 204
k_str_jump_up 3
k_str_kick 57
k_str_low 25
k_str_spinning_kick 16
lying_kick_face_back 3
lying_kick_face_front 28
lying_kick_spine_back 27
lying_kick_spine_front 18
paladinessa_fly 289
paladinessa_fly_left 156
paladinessa_fly_left_active 140
pistol_player_shoot 279
sword_lonely_heavy_slash 465
sword_lonely_low_slash 126
sword_lonely_slash_1 442
sword_lonely_slash_2 268
sword_lonely_spinning_slash 213
sword_lonely_super_1_slash_1 855
sword_lonely_super_1_slash_2 492
sword_lonely_upper_slash 47
