action count
boss_jet_heavy_kick_1 6
boss_jet_pilon_attack_1 19
boss_jet_pilon_attack_2 6
boss_jet_wall_attack_1 6
boss_jet_wall_attack_2 6
glaive_knives_heavy_slash 4
glaive_knives_low_slash_1 18
glaive_knives_low_slash_2 9
glaive_knives_low_slash_3 1
glaive_knives_low_slash_4 1
glaive_knives_slash_1 8
glaive_knives_slash_2 5
glaive_knives_slash_3 5
glaive_knives_slash_4 3
glaive_knives_spinning_slash_1 30
glaive_knives_spinning_slash_2 24
glaive_knives_spinning_slash_3 20
glaive_knives_spinning_slash_4 14
glaive_knives_spinning_slash_5 8
glaive_knives_super_1_slash_1 40
glaive_knives_super_1_slash_2 27
glaive_knives_super_1_slash_3 18
glaive_knives_super_1_slash_4 18
glaive_knives_upper_slash_1 10
glaive_knives_upper_slash_2 7
glaive_knives_upper_slash_3 6
k_agl_jump_front_heavy 32
k_agl_kick_1 2
k_agl_kick_2 1
k_agl_kick_3 1
k_agl_low_1 1
k_agl_low_2 1
lying_kick_face_back 1
lying_kick_face_front 2
lying_kick_spine_back 5
lying_kick_spine_front 6
needle_player_throw 11
