action count
k_prc_front_kick 3
k_prc_jump_front 33
k_prc_jump_front_heavy 73
k_prc_jump_up 4
k_prc_kick_1 31
k_prc_kick_2 18
k_prc_low 14
k_prc_spinning_kick 14
kibo_katana_heavy_slash 68
kibo_katana_low_slash 54
kibo_katana_spinning_slash 138
kibo_katana_super_1_slash_1 411
kibo_katana_super_1_slash_2 314
kibo_katana_super_1_slash_3 248
kibo_katana_upper_slash 20
kibo_shadow_ability_active 45
kibo_shadow_ability_miss 123
lying_kick_face_back 9
lying_kick_face_front 17
lying_kick_spine_back 10
lying_kick_spine_front 19
shadow_katana_slash_1_active 6
shadow_katana_slash_1_miss 9
shadow_katana_slash_1_start 12
shuriken_player_throw 195
