action count
arbalest_player_shoot 19
dual_swords_heavy_slash 21
dual_swords_low_slash_1 8
dual_swords_low_slash_2 5
dual_swords_slash_1 23
dual_swords_slash_2 14
dual_swords_slash_3 13
dual_swords_spinning_slash 10
dual_swords_super_5_active 16
dual_swords_super_5_slash_1 59
dual_swords_super_5_slash_2 32
dual_swords_upper_slash 2
k_str_jump_front_heavy 7
k_str_kick 2
k_str_super_3_kick_1 8
k_str_super_3_kick_2 6
liquidator_pistol_shoot 2
liquidator_pistol_shot 2
lying_kick_face_back 1
lying_kick_face_front 1
lying_kick_spine_back 7
shadow_dual_swords_hit 2
shadow_dual_swords_miss 9
shadow_ranged_strong_arbalest 6
shadow_thud 4
