action count
arbalest_player_shoot 120
dual_swords_heavy_slash 150
dual_swords_low_slash_1 67
dual_swords_low_slash_2 50
dual_swords_slash_1 204
dual_swords_slash_2 127
dual_swords_slash_3 118
dual_swords_spinning_slash 143
dual_swords_super_5_active 75
dual_swords_super_5_slash_1 311
dual_swords_super_5_slash_2 194
dual_swords_upper_slash 42
k_str_jump_front_heavy 122
k_str_jump_up 5
k_str_kick 28
k_str_low 6
k_str_spinning_kick 7
k_str_super_3_kick_1 40
k_str_super_3_kick_2 13
liquidator_pistol_finish 6
liquidator_pistol_shoot 14
liquidator_pistol_shot 15
lying_kick_face_back 5
lying_kick_face_front 94
lying_kick_spine_back 1
lying_kick_spine_front 3
shadow_dual_swords_hit 75
shadow_dual_swords_miss 115
shadow_ranged_strong_arbalest 43
shadow_ranged_strong_pistol 3
shadow_thud 44
