action count
arbalest_player_shoot 199
dual_swords_heavy_slash 248
dual_swords_low_slash_1 195
dual_swords_low_slash_2 119
dual_swords_slash_1 441
dual_swords_slash_2 250
dual_swords_slash_3 240
dual_swords_spinning_slash 230
dual_swords_super_5_active 132
dual_swords_super_5_slash_1 464
dual_swords_super_5_slash_2 301
dual_swords_upper_slash 34
k_str_jump_front_heavy 214
k_str_jump_up 1
k_str_kick 81
k_str_low 46
k_str_spinning_kick 24
k_str_super_3_kick_1 24
k_str_super_3_kick_2 6
liquidator_pistol_finish 7
liquidator_pistol_shoot 9
liquidator_pistol_shot 16
lying_kick_face_back 2
lying_kick_face_front 32
lying_kick_spine_back 9
lying_kick_spine_front 67
shadow_dual_swords_hit 126
shadow_dual_swords_miss 187
shadow_ranged_strong_arbalest 44
shadow_ranged_strong_pistol 3
shadow_thud 76
