action count
giant_sword_heavy_slash 111
giant_sword_heavy_slash_glitch 102
giant_sword_low_slash 12
giant_sword_low_slash_glitch 12
giant_sword_slash_1 47
giant_sword_slash_1_glitch 38
giant_sword_slash_2 31
giant_sword_slash_2_glitch 24
giant_sword_spinning_slash 63
giant_sword_spinning_slash_glitch 63
giant_sword_super_5_slash_1 159
giant_sword_super_5_slash_1_glitch 138
giant_sword_super_5_slash_2 87
giant_sword_super_5_slash_2_glitch 87
giant_sword_super_5_slash_3 36
giant_sword_super_5_slash_3_glitch 40
giant_sword_upper_slash 22
giant_sword_upper_slash_glitch 19
k_str_front_kick 5
k_str_jump_front_heavy 57
k_str_jump_up_heavy 6
k_str_kick 42
k_str_low 16
k_str_spinning_kick 14
lying_kick_face_back 3
lying_kick_face_front 27
lying_kick_spine_back 5
lying_kick_spine_front 45
pilum_player_throw 141
shadow_giant_sword_slash_1 46
shadow_ranged_strong_pilum 41
