action count
giant_sword_heavy_slash 413
giant_sword_heavy_slash_glitch 320
giant_sword_low_slash 61
giant_sword_low_slash_glitch 36
giant_sword_slash_1 154
giant_sword_slash_1_glitch 83
giant_sword_slash_2 78
giant_sword_slash_2_glitch 48
giant_sword_spinning_slash 142
giant_sword_spinning_slash_glitch 98
giant_sword_super_5_slash_1 345
giant_sword_super_5_slash_1_glitch 289
giant_sword_super_5_slash_2 220
giant_sword_super_5_slash_2_glitch 175
giant_sword_super_5_slash_3 66
giant_sword_super_5_slash_3_glitch 79
giant_sword_upper_slash 71
giant_sword_upper_slash_glitch 43
k_str_front_kick 11
k_str_jump_front_heavy 145
k_str_jump_up_heavy 9
k_str_kick 153
k_str_low 58
k_str_spinning_kick 34
lying_kick_face_back 2
lying_kick_face_front 17
lying_kick_spine_back 3
lying_kick_spine_front 15
pilum_player_throw 323
shadow_giant_sword_slash_1 159
shadow_ranged_strong_pilum 150
