action count
giant_sword_heavy_slash 50
giant_sword_heavy_slash_glitch 48
giant_sword_slash_1 22
giant_sword_slash_1_glitch 15
giant_sword_slash_2 9
giant_sword_slash_2_glitch 11
giant_sword_spinning_slash 14
giant_sword_spinning_slash_glitch 21
giant_sword_super_5_slash_1 33
giant_sword_super_5_slash_1_glitch 21
giant_sword_super_5_slash_2 23
giant_sword_super_5_slash_2_glitch 13
giant_sword_super_5_slash_3 6
giant_sword_super_5_slash_3_glitch 4
giant_sword_upper_slash 5
giant_sword_upper_slash_glitch 9
k_str_front_kick 14
k_str_jump_front_heavy 2
k_str_jump_up_heavy 1
k_str_kick 14
k_str_spinning_kick 3
lying_kick_face_back 5
lying_kick_face_front 18
lying_kick_spine_front 2
pilum_player_throw 20
shadow_giant_sword_slash_1 12
shadow_ranged_strong_pilum 10
