action count
agile_bow_player_throw 9
guandao_heavy_slash_1 6
guandao_low_slash_1 22
guandao_low_slash_2 19
guandao_low_slash_3 17
guandao_slash_1 13
guandao_slash_2 10
guandao_slash_3 9
guandao_spinning_slash_1 21
guandao_spinning_slash_2 15
guandao_spinning_slash_3 13
guandao_spinning_slash_4 13
guandao_super_2_slash_1 36
guandao_super_2_slash_2 15
guandao_super_2_slash_3 15
guandao_super_2_slash_4 11
guandao_super_2_slash_5 11
k_agl_front_kick 5
k_agl_jump_front_heavy 2
k_agl_kick_1 3
k_agl_kick_2 1
k_agl_low_1 3
k_agl_low_2 2
k_agl_spinning_kick 2
lying_kick_face_back 3
lying_kick_face_front 1
lying_kick_spine_back 7
lying_kick_spine_front 3
shadow_agile_helmet_3 9
shadow_guandao_slash_1 9
shadow_mine_end 8
shadow_mine_start 9
shadow_ranged_agile_bow 4
