action count
chakram_player_throw 46
k_agl_front_kick 4
k_agl_jump_front 18
k_agl_jump_front_heavy 30
k_agl_kick_1 3
k_agl_kick_2 2
k_agl_kick_3 2
k_agl_low_1 16
k_agl_low_2 15
k_agl_spinning_kick 2
lying_kick_face_back 4
lying_kick_face_front 9
lying_kick_spine_back 1
lying_kick_spine_front 29
shadow_staff 13
shadow_staff_continue_mirror_special 3
shadow_staff_continue_special 10
shadow_staff_special 21
staff_backward_special 23
staff_forward_special 30
staff_heavy_slash 40
staff_low_slash_1 27
staff_low_slash_2 20
staff_slash_1 112
staff_slash_2 72
staff_slash_3 59
staff_spinning_slash_1 44
staff_spinning_slash_2 20
staff_super_1_slash_1 99
staff_super_1_slash_2 59
staff_upper_slash_1 45
staff_upper_slash_2 26
