action count
bulwark_shadow_chain_active 78
bulwark_shadow_chain_miss 185
k_str_front_kick 5
k_str_jump_front 49
k_str_jump_front_heavy 141
k_str_jump_up_heavy 7
k_str_kick 28
k_str_low 36
k_str_spinning_kick 31
lying_kick_face_back 17
lying_kick_face_front 38
lying_kick_spine_back 18
lying_kick_spine_front 30
shadow_shield_knobstick_slash_1 112
shield_knobstick_heavy_slash 254
shield_knobstick_low_slash 125
shield_knobstick_low_slash_active 31
shield_knobstick_slash_1 429
shield_knobstick_slash_2 297
shield_knobstick_slash_3 257
shield_knobstick_spinning_slash 316
shield_knobstick_super_3_slash_1 759
shield_knobstick_super_3_slash_2 606
shield_knobstick_upper_slash 61
strong_blaster_player_shoot 225
