action count
bulwark_shadow_chain_active 69
bulwark_shadow_chain_miss 150
k_str_front_kick 18
k_str_jump_front 47
k_str_jump_front_heavy 72
k_str_jump_up_heavy 6
k_str_kick 35
k_str_low 32
k_str_spinning_kick 7
lying_kick_face_back 5
lying_kick_face_front 24
lying_kick_spine_back 10
lying_kick_spine_front 18
shadow_shield_knobstick_slash_1 106
shield_knobstick_heavy_slash 148
shield_knobstick_low_slash 163
shield_knobstick_low_slash_active 42
shield_knobstick_slash_1 343
shield_knobstick_slash_2 176
shield_knobstick_slash_3 149
shield_knobstick_spinning_slash 230
shield_knobstick_super_3_slash_1 516
shield_knobstick_super_3_slash_2 287
shield_knobstick_upper_slash 32
strong_blaster_player_shoot 198
