action count
bulwark_shadow_chain_active 37
bulwark_shadow_chain_miss 69
k_str_front_kick 5
k_str_jump_front 9
k_str_jump_front_heavy 96
k_str_jump_up_heavy 6
k_str_kick 22
k_str_low 5
k_str_spinning_kick 4
lying_kick_face_back 8
lying_kick_face_front 33
lying_kick_spine_back 4
lying_kick_spine_front 47
shadow_shield_knobstick_slash_1 47
shield_knobstick_heavy_slash 124
shield_knobstick_low_slash 32
shield_knobstick_low_slash_active 10
shield_knobstick_slash_1 164
shield_knobstick_slash_2 101
shield_knobstick_slash_3 91
shield_knobstick_spinning_slash 79
shield_knobstick_super_3_slash_1 288
shield_knobstick_super_3_slash_2 220
shield_knobstick_upper_slash 13
strong_blaster_player_shoot 96
