action count
k_prc_jump_front_heavy 16
k_prc_jump_up_heavy 1
k_prc_low 10
k_prc_spinning_kick 3
k_prc_super_4_kick_1 4
k_prc_super_4_kick_2 2
k_prc_super_4_kick_3 2
kunai_player_throw 22
lying_kick_face_back 2
lying_kick_face_front 18
lying_kick_spine_back 1
naginata_heavy_slash 24
naginata_low_slash 8
naginata_slash_1 33
naginata_slash_2 17
naginata_spinning_slash 7
naginata_super_1_slash_1 85
naginata_super_1_slash_2 39
naginata_super_1_slash_3 33
naginata_upper_slash 5
shadow_dash 16
shadow_dash_turn 4
shadow_precise_armor 11
