action count
dual_kama_heavy_slash 317
dual_kama_low_slash 73
dual_kama_slash_1 441
dual_kama_slash_2 303
dual_kama_spinning_slash 245
dual_kama_super_1_active 183
dual_kama_super_1_slash_1 802
dual_kama_super_1_slash_2 526
dual_kama_upper_slash 55
fireguard_flame_spit 359
fireguard_shadow_fly_attack 43
fireguard_shadow_fly_miss 55
fireguard_shadow_fly_miss_mirror 25
fireguard_shadow_fly_miss_turn_back 13
fireguard_shadow_fly_start 82
k_prc_front_kick 34
k_prc_jump_front 119
k_prc_jump_front_heavy 373
k_prc_jump_up 24
k_prc_kick_1 105
k_prc_kick_2 57
k_prc_low 29
k_prc_spinning_kick 27
lying_kick_face_back 40
lying_kick_face_front 79
lying_kick_spine_back 22
lying_kick_spine_front 56
shadow_dual_kama_slash_1_active_end 82
shadow_dual_kama_slash_1_active_start 82
shadow_dual_kama_slash_1_miss 171
shadow_fireguard_dodge 37
shadow_ranged_precise_folding_shuriken 82
