action count
dual_kama_heavy_slash 62
dual_kama_low_slash 17
dual_kama_slash_1 87
dual_kama_slash_2 51
dual_kama_spinning_slash 45
dual_kama_super_1_active 54
dual_kama_super_1_slash_1 262
dual_kama_super_1_slash_2 148
dual_kama_upper_slash 9
fireguard_flame_spit 68
fireguard_shadow_fly_attack 8
fireguard_shadow_fly_miss 6
fireguard_shadow_fly_miss_mirror 5
fireguard_shadow_fly_miss_turn_back 3
fireguard_shadow_fly_start 20
k_prc_front_kick 2
k_prc_jump_front 21
k_prc_jump_front_heavy 56
k_prc_jump_up 3
k_prc_kick_1 4
k_prc_kick_2 1
k_prc_low 19
k_prc_spinning_kick 7
lying_kick_face_back 5
lying_kick_face_front 6
lying_kick_spine_back 2
lying_kick_spine_front 7
shadow_dual_kama_slash_1_active_end 17
shadow_dual_kama_slash_1_active_start 17
shadow_dual_kama_slash_1_miss 40
shadow_fireguard_dodge 7
shadow_ranged_precise_folding_shuriken 19
