action count
dual_kama_heavy_slash 30
dual_kama_low_slash 9
dual_kama_slash_1 20
dual_kama_slash_2 16
dual_kama_spinning_slash 9
dual_kama_super_1_active 5
dual_kama_super_1_slash_1 37
dual_kama_super_1_slash_2 23
fireguard_flame_spit 26
fireguard_shadow_fly_attack 5
fireguard_shadow_fly_miss 2
fireguard_shadow_fly_miss_mirror 5
fireguard_shadow_fly_start 7
k_prc_jump_front 7
k_prc_jump_front_heavy 11
k_prc_low 2
k_prc_spinning_kick 7
lying_kick_face_back 1
lying_kick_face_front 2
lying_kick_spine_front 9
shadow_dual_kama_slash_1_active_end 9
shadow_dual_kama_slash_1_active_start 9
shadow_dual_kama_slash_1_miss 13
shadow_fireguard_dodge 1
shadow_ranged_precise_folding_shuriken 4
