action count
k_str_jump_front 7
k_str_jump_front_heavy 38
k_str_jump_up 2
k_str_kick 13
k_str_low 13
k_str_spinning_kick 26
lying_kick_face_back 6
lying_kick_face_front 6
lying_kick_spine_back 33
lying_kick_spine_front 4
paladinessa_fly 80
paladinessa_fly_left 72
paladinessa_fly_left_active 62
pistol_player_shoot 102
sword_lonely_heavy_slash 118
sword_lonely_low_slash 24
sword_lonely_slash_1 159
sword_lonely_slash_2 95
sword_lonely_spinning_slash 138
sword_lonely_super_1_slash_1 305
sword_lonely_super_1_slash_2 201
sword_lonely_upper_slash 6
