action count
k_str_front_kick 10
k_str_jump_front 64
k_str_jump_front_heavy 79
k_str_jump_up 2
k_str_kick 46
k_str_low 38
k_str_spinning_kick 36
lying_kick_face_back 5
lying_kick_face_front 155
lying_kick_spine_back 14
lying_kick_spine_front 21
paladinessa_fly 263
paladinessa_fly_left 227
paladinessa_fly_left_active 187
pistol_player_shoot 281
sword_lonely_heavy_slash 247
sword_lonely_low_slash 98
sword_lonely_slash_1 615
sword_lonely_slash_2 402
sword_lonely_spinning_slash 334
sword_lonely_super_1_slash_1 953
sword_lonely_super_1_slash_2 569
sword_lonely_upper_slash 22
