action count
k_str_front_kick 11
k_str_jump_front 116
k_str_jump_front_heavy 101
k_str_jump_up 5
k_str_kick 63
k_str_low 57
k_str_spinning_kick 55
lying_kick_face_back 2
lying_kick_face_front 34
lying_kick_spine_back 4
lying_kick_spine_front 54
paladinessa_fly 416
paladinessa_fly_left 218
paladinessa_fly_left_active 202
pistol_player_shoot 344
sword_lonely_heavy_slash 425
sword_lonely_low_slash 105
sword_lonely_slash_1 643
sword_lonely_slash_2 415
sword_lonely_spinning_slash 442
sword_lonely_super_1_slash_1 1323
sword_lonely_super_1_slash_2 731
sword_lonely_upper_slash 39
