action count
k_str_front_kick 8
k_str_jump_front 55
k_str_jump_front_heavy 139
k_str_jump_up 12
k_str_kick 51
k_str_low 46
k_str_spinning_kick 65
lying_kick_face_back 5
lying_kick_face_front 116
lying_kick_spine_back 22
lying_kick_spine_front 43
paladinessa_fly 413
paladinessa_fly_left 200
paladinessa_fly_left_active 171
pistol_player_shoot 342
sword_lonely_heavy_slash 376
sword_lonely_low_slash 81
sword_lonely_slash_1 776
sword_lonely_slash_2 507
sword_lonely_spinning_slash 407
sword_lonely_super_1_slash_1 1184
sword_lonely_super_1_slash_2 711
sword_lonely_upper_slash 20
