action count
hong_joo_rage_ability 15
hong_joo_rage_ability_talent 1
hong_joo_short_bomb_throw 14
k_agl_jump_front 2
k_agl_jump_front_heavy 6
k_agl_kick_1 2
k_agl_kick_2 1
k_agl_kick_3 1
k_agl_low_1 2
k_str_spinning_kick 3
lying_kick_face_back 3
lying_kick_face_front 5
lying_kick_spine_back 1
lying_kick_spine_front 12
triple_staff_heavy_slash 4
triple_staff_low_slash_1 9
triple_staff_low_slash_2 2
triple_staff_slash_1 17
triple_staff_slash_2 11
triple_staff_slash_3 6
triple_staff_slash_4 5
triple_staff_spinning_slash_1 15
triple_staff_spinning_slash_2 11
triple_staff_super_3_slash_1 59
triple_staff_super_3_slash_2 40
triple_staff_super_3_slash_3 22
triple_staff_upper_slash_1 5
triple_staff_upper_slash_2 3
