action count
hong_joo_long_bomb_throw 6
hong_joo_rage_ability 27
hong_joo_rage_ability_talent 1
hong_joo_short_bomb_throw 54
k_agl_jump_front 15
k_agl_jump_front_heavy 15
k_agl_jump_up 2
k_agl_kick_1 19
k_agl_kick_2 8
k_agl_kick_3 4
k_agl_low_1 9
k_agl_low_2 2
k_prc_front_kick 5
k_str_spinning_kick 8
lying_kick_face_back 6
lying_kick_face_front 14
lying_kick_spine_back 4
lying_kick_spine_front 3
triple_staff_heavy_slash 49
triple_staff_low_slash_1 14
triple_staff_low_slash_2 9
triple_staff_slash_1 50
triple_staff_slash_2 32
triple_staff_slash_3 23
triple_staff_slash_4 18
triple_staff_spinning_slash_1 67
triple_staff_spinning_slash_2 50
triple_staff_super_3_slash_1 139
triple_staff_super_3_slash_2 91
triple_staff_super_3_slash_3 67
triple_staff_upper_slash_1 8
triple_staff_upper_slash_2 2
