action count
boss_jet_pilon_attack_1 2
boss_jet_pilon_attack_2 2
boss_jet_wall_attack_1 2
boss_jet_wall_attack_2 2
glaive_knives_low_slash_1 4
glaive_knives_low_slash_2 4
glaive_knives_low_slash_3 4
glaive_knives_low_slash_4 3
glaive_knives_spinning_slash_1 11
glaive_knives_spinning_slash_2 7
glaive_knives_spinning_slash_3 7
glaive_knives_spinning_slash_4 5
glaive_knives_spinning_slash_5 4
glaive_knives_super_1_slash_1 7
glaive_knives_super_1_slash_2 7
glaive_knives_super_1_slash_3 3
glaive_knives_super_1_slash_4 2
k_agl_jump_front_heavy 2
lying_kick_face_back 2
lying_kick_face_front 8
lying_kick_spine_front 3
