action count
k_prc_jump_front 4
k_prc_jump_front_heavy 47
k_prc_kick_1 6
k_prc_kick_2 2
k_prc_low 6
k_prc_spinning_kick 8
kibo_katana_heavy_slash 27
kibo_katana_low_slash 6
kibo_katana_spinning_slash 47
kibo_katana_super_1_slash_1 151
kibo_katana_super_1_slash_2 90
kibo_katana_super_1_slash_3 64
kibo_katana_upper_slash 5
kibo_shadow_ability_active 13
kibo_shadow_ability_miss 38
lying_kick_face_back 11
lying_kick_face_front 14
lying_kick_spine_back 3
lying_kick_spine_front 24
shuriken_player_throw 69
