action count
k_prc_front_kick 1
k_prc_jump_front 5
k_prc_jump_front_heavy 15
k_prc_kick_1 10
k_prc_kick_2 3
k_prc_low 10
k_prc_spinning_kick 7
kibo_katana_heavy_slash 11
kibo_katana_low_slash 8
kibo_katana_spinning_slash 22
kibo_katana_super_1_slash_1 81
kibo_katana_super_1_slash_2 56
kibo_katana_super_1_slash_3 49
kibo_katana_upper_slash 2
kibo_shadow_ability_active 9
kibo_shadow_ability_miss 27
lying_kick_face_back 2
lying_kick_face_front 1
lying_kick_spine_back 1
lying_kick_spine_front 3
shadow_katana_slash_1_miss 1
shadow_katana_slash_1_start 1
shuriken_player_throw 34
