action count
k_prc_jump_front 9
k_prc_jump_front_heavy 41
k_prc_kick_1 3
k_prc_low 14
k_prc_spinning_kick 3
kibo_katana_heavy_slash 37
kibo_katana_low_slash 31
kibo_katana_spinning_slash 114
kibo_katana_super_1_slash_1 340
kibo_katana_super_1_slash_2 264
kibo_katana_super_1_slash_3 175
kibo_katana_upper_slash 10
kibo_shadow_ability_active 20
kibo_shadow_ability_miss 108
lying_kick_face_back 14
lying_kick_face_front 37
lying_kick_spine_back 9
lying_kick_spine_front 43
shadow_katana_slash_1_miss 1
shadow_katana_slash_1_start 1
shuriken_player_throw 131
