action count
arbalest_player_shoot 15
dual_swords_heavy_slash 23
dual_swords_low_slash_1 15
dual_swords_low_slash_2 8
dual_swords_slash_1 30
dual_swords_slash_2 18
dual_swords_slash_3 18
dual_swords_spinning_slash 32
dual_swords_super_5_active 11
dual_swords_super_5_slash_1 56
dual_swords_super_5_slash_2 30
dual_swords_upper_slash 4
k_str_jump_front_heavy 23
k_str_jump_up 1
k_str_kick 4
k_str_low 2
k_str_spinning_kick 2
k_str_super_3_kick_1 4
k_str_super_3_kick_2 2
lying_kick_face_front 15
lying_kick_spine_back 3
shadow_dual_swords_hit 13
shadow_dual_swords_miss 14
shadow_ranged_strong_arbalest 6
shadow_thud 6
