action count
arbalest_player_shoot 51
dual_swords_heavy_slash 29
dual_swords_low_slash_1 41
dual_swords_low_slash_2 23
dual_swords_slash_1 69
dual_swords_slash_2 43
dual_swords_slash_3 28
dual_swords_spinning_slash 111
dual_swords_super_5_active 44
dual_swords_super_5_slash_1 134
dual_swords_super_5_slash_2 92
dual_swords_upper_slash 7
k_str_jump_front_heavy 23
k_str_kick 36
k_str_low 13
k_str_spinning_kick 4
k_str_super_3_kick_1 2
lying_kick_face_front 4
lying_kick_spine_back 3
lying_kick_spine_front 15
shadow_dual_swords_hit 26
shadow_dual_swords_miss 38
shadow_ranged_strong_arbalest 10
shadow_thud 4
