action count
giant_sword_heavy_slash 77
giant_sword_heavy_slash_glitch 62
giant_sword_low_slash 12
giant_sword_low_slash_glitch 2
giant_sword_slash_1 38
giant_sword_slash_1_glitch 22
giant_sword_slash_2 24
giant_sword_slash_2_glitch 4
giant_sword_spinning_slash 43
giant_sword_spinning_slash_glitch 24
giant_sword_super_5_slash_1 112
giant_sword_super_5_slash_1_glitch 98
giant_sword_super_5_slash_2 53
giant_sword_super_5_slash_2_glitch 43
giant_sword_super_5_slash_3 14
giant_sword_super_5_slash_3_glitch 19
giant_sword_upper_slash 9
giant_sword_upper_slash_glitch 6
k_str_front_kick 2
k_str_jump_front_heavy 18
k_str_jump_up_heavy 7
k_str_kick 77
k_str_low 14
k_str_spinning_kick 4
lying_kick_face_front 5
lying_kick_spine_front 4
pilum_player_throw 75
shadow_giant_sword_slash_1 35
shadow_ranged_strong_pilum 29
