action count
agile_bow_player_throw 8
guandao_heavy_slash_1 9
guandao_low_slash_1 2
guandao_low_slash_2 2
guandao_low_slash_3 1
guandao_slash_1 20
guandao_slash_2 13
guandao_slash_3 13
guandao_spinning_slash_1 23
guandao_spinning_slash_2 17
guandao_spinning_slash_3 13
guandao_spinning_slash_4 13
guandao_super_2_slash_1 18
guandao_super_2_slash_2 9
guandao_super_2_slash_3 9
guandao_super_2_slash_4 6
guandao_super_2_slash_5 5
k_agl_front_kick 2
k_agl_jump_front_heavy 2
k_agl_jump_up 1
k_agl_low_1 13
k_agl_low_2 9
lying_kick_face_back 1
lying_kick_face_front 14
shadow_agile_helmet_3 6
shadow_guandao_slash_1 11
shadow_mine_end 5
shadow_mine_start 7
shadow_ranged_agile_bow 6
