action count
chakram_player_throw 10
k_agl_front_kick 5
k_agl_jump_front 5
k_agl_kick_1 1
k_agl_spinning_kick 3
lying_kick_face_back 1
lying_kick_face_front 3
lying_kick_spine_back 3
lying_kick_spine_front 1
shadow_staff 1
shadow_staff_continue_special 2
staff_backward_special 3
staff_forward_special 4
staff_heavy_slash 7
staff_low_slash_1 1
staff_slash_1 21
staff_slash_2 14
staff_slash_3 11
staff_spinning_slash_1 4
staff_spinning_slash_2 2
staff_super_1_slash_1 18
staff_super_1_slash_2 11
staff_upper_slash_1 1
