action count
chakram_player_throw 24
k_agl_jump_front 9
k_agl_jump_front_heavy 4
k_agl_kick_1 7
k_agl_kick_2 5
k_agl_kick_3 5
k_agl_low_1 5
k_agl_low_2 5
k_agl_spinning_kick 2
lying_kick_face_back 4
lying_kick_face_front 10
lying_kick_spine_back 2
shadow_staff 11
shadow_staff_continue_special 7
shadow_staff_special 2
staff_backward_special 4
staff_forward_special 8
staff_heavy_slash 8
staff_low_slash_1 11
staff_low_slash_2 5
staff_slash_1 27
staff_slash_2 8
staff_slash_3 8
staff_spinning_slash_1 13
staff_spinning_slash_2 7
staff_super_1_slash_1 82
staff_super_1_slash_2 50
staff_upper_slash_1 4
