action count
dual_hammers_heavy_slash 217
dual_hammers_low_slash_1 76
dual_hammers_low_slash_2 40
dual_hammers_slash_1 271
dual_hammers_slash_2 144
dual_hammers_slash_3 128
dual_hammers_spinning_slash 367
dual_hammers_super_1_slash_1 669
dual_hammers_super_1_slash_2 458
dual_hammers_upper_slash_1 131
dual_hammers_upper_slash_2 40
k_str_front_kick 2
k_str_jump_front 32
k_str_jump_front_heavy 133
k_str_jump_up 3
k_str_kick 27
k_str_low 16
k_str_spinning_kick 7
knives_player_throw 55
lying_kick_face_back 6
lying_kick_face_front 20
lying_kick_spine_back 10
lying_kick_spine_front 8
sarge_super_heavy_kick 12
sarge_super_ranged 80
sarge_super_spinning 2
