MainName AddName
Shield_Knobstick_Low_Slash Shield_Knobstick_Low_Slash_Active
Bulwark_Shadow_Chain_Miss Bulwark_Shadow_Chain_Active
Bulwark_Shadow_Chain_Miss Bulwark_Shadow_Chain_Model_Attack
Claws_1_Super_1_Slash_1 Claws_1_Super_1_Active
Emperor_Shadow_Blade_Throw_Model_Attack_Miss Emperor_Shadow_Blade_Throw_Active
Emperor_Shadow_Blade_Throw_Model_Attack_Miss Emperor_Shadow_Blade_Throw_Model_Attack_Active
Shadow_Claws_Slash_1 Shadow_Claws_Slash_1_Turn
Dual_Kama_Super_1_Slash_1 Dual_Kama_Super_1_Active
Shadow_Ranged_Precise_Folding_Shuriken_Model_Attack_Miss Shadow_Ranged_Precise_Folding_Shuriken_Model_Attack_Active
Shadow_Ranged_Precise_Folding_Shuriken_Model_Attack_Miss Shadow_Ranged_Precise_Folding_Shuriken_Model_Attack_Active_2
Shadow_Precise_Armor_Throw_Miss Shadow_Precise_Armor_Throw_Active
Shadow_Dual_Kama_Slash_1_Active_End Shadow_Dual_Kama_Slash_1_Model_Attack
Fireguard_Shadow_Fly_Miss Fireguard_Shadow_Fly_Miss_Mirror
Fireguard_Shadow_Fly_Miss Fireguard_Shadow_Fly_Attack
Hong_Joo_Long_Bomb_Model_Attack Hong_Joo_Long_Bomb_Explosion_Model_Attack
Boss_Jet_Heavy_Kick_1 Boss_Jet_Heavy_Kick_Active
Kibo_Shadow_Ability_Miss Kibo_Shadow_Ability_Active
Shadow_Ling_Thrust_Miss Shadow_Ling_Thrust_Active
Dual_Swords_Super_5_Slash_1 Dual_Swords_Super_5_Active
Shadow_Dual_Swords_Slash_Model_Bullet_1 Shadow_Dual_Swords_Slash_Model_Bullet_2_Left
Shadow_Dual_Swords_Slash_Model_Bullet_1 Shadow_Dual_Swords_Slash_Model_Bullet_2_Right
Shadow_Ranged_Strong_Arbalest_Model_Create Shadow_Ranged_Strong_Arbalest_Model_Create_Mirrored
Shadow_Ranged_Strong_Pistol Shadow_Ranged_Strong_Pistol_Model_Attack_1
Shadow_Ranged_Strong_Pistol Shadow_Ranged_Strong_Pistol_Model_Attack_2
Lynx_Claws_Super_Slash_1 Lynx_Claws_Super_Slash_Active
Lynx_Claws_Super_Slash_1_LONG Lynx_Claws_Super_Slash_Active_LONG
Lynx_Shadow_Claws_Slash_1 Lynx_Shadow_Claws_Slash_1_Active
Lynx_Explosion_Model_Attack Lynx_Explosion_Model_Attack_Talent
Shadow_Ranged_Agile_Bow_Bullet_Model_Attack Shadow_Ranged_Agile_Bow_Bolt_Model_Attack_Starter
Shadow_Ranged_Agile_Bow_Bullet_Model_Attack Shadow_Ranged_Agile_Bow_Bullet_Model_Attack_Zone
Shadow_Agile_Helmet_3 Shadow_Agile_Helmet_3_Starter
Shadow_Agile_Helmet_3 Shadow_Agile_Helmet_3_Model_Attack
Shadow_Agile_Helmet_3 Shadow_Agile_Helmet_3_Explosion_Distance
Shadow_Agile_Helmet_3 Shadow_Agile_Helmet_3_Explosion_Wallhit
Shadow_Guandao_Slash_1 Shadow_Guandao_Slash_1_Starter
Shadow_Guandao_Slash_1 Shadow_Guandao_Model_Attack
Shadow_Guandao_Slash_1 Shadow_Guandao_Slash_1_Zone
Shadow_Katana_Slash_1_Miss Shadow_Katana_Slash_1_Active
Yukka_Cat_Big_Model_Bullet_Fly Yukka_Cat_Big_Model_Attack_Active
